signer0_sample7,15
signer0_sample10,12
signer0_sample21,4
signer0_sample23,18
signer0_sample48,3
signer0_sample50,15
signer0_sample58,1
signer0_sample61,17
signer0_sample68,2
signer0_sample69,8
signer0_sample72,12
signer0_sample93,19
signer0_sample98,6
signer0_sample113,14
signer0_sample136,12
signer0_sample139,0
signer0_sample140,11
signer0_sample157,7
signer0_sample169,13
signer0_sample181,19
signer0_sample183,3
signer0_sample208,18
signer0_sample214,1
signer0_sample219,7
signer0_sample232,6
signer0_sample240,16
signer0_sample263,2
signer0_sample266,1
signer0_sample286,11
signer0_sample289,5
signer0_sample295,13
signer0_sample318,19
signer0_sample326,6
signer0_sample329,18
signer0_sample344,18
signer0_sample367,4
signer0_sample370,9
signer0_sample372,14
signer0_sample373,5
signer0_sample404,16
signer0_sample424,2
signer0_sample431,10
signer0_sample432,16
signer0_sample434,17
signer0_sample490,1
signer0_sample499,6
signer0_sample501,14
signer0_sample510,3
signer0_sample511,5
signer0_sample515,10
signer0_sample517,16
signer0_sample535,17
signer0_sample551,2
signer0_sample552,15
signer0_sample560,19
signer0_sample579,4
signer0_sample581,18
signer0_sample582,7
signer0_sample603,18
signer0_sample615,13
signer0_sample651,15
signer0_sample663,4
signer0_sample683,11
signer0_sample684,3
signer0_sample708,9
signer0_sample714,4
signer0_sample716,5
signer0_sample718,8
signer0_sample727,7
signer0_sample752,13
signer0_sample767,12
signer0_sample775,17
signer0_sample784,0
signer0_sample805,2
signer0_sample809,7
signer0_sample823,6
signer0_sample852,8
signer0_sample891,17
signer0_sample892,10
signer0_sample896,11
signer0_sample937,7
signer0_sample943,1
signer0_sample967,15
signer0_sample975,5
signer0_sample1013,19
signer0_sample1022,9
signer0_sample1028,9
signer0_sample1030,14
signer0_sample1034,10
signer0_sample1035,1
signer0_sample1044,10
signer0_sample1049,5
signer0_sample1056,15
signer0_sample1075,4
signer0_sample1088,14
signer0_sample1092,3
signer0_sample1093,19
signer0_sample1104,11
signer0_sample1131,2
signer0_sample1143,13
signer0_sample1151,16
signer0_sample1160,9
signer0_sample1163,12
signer0_sample1168,12
signer0_sample1172,16
signer0_sample1179,14
signer0_sample1203,17
signer0_sample1213,9
signer0_sample1219,10
signer0_sample1226,3
signer0_sample1287,0
signer0_sample1288,8
signer0_sample1298,8
signer0_sample1328,11
signer0_sample1330,13
signer0_sample1340,8
signer0_sample1341,6
signer2_sample27,16
signer2_sample41,15
signer2_sample46,5
signer2_sample47,15
signer2_sample60,3
signer2_sample62,16
signer2_sample73,1
signer2_sample76,8
signer2_sample82,12
signer2_sample86,12
signer2_sample97,11
signer2_sample116,10
signer2_sample128,14
signer2_sample135,18
signer2_sample142,17
signer2_sample144,9
signer2_sample162,1
signer2_sample168,2
signer2_sample191,8
signer2_sample198,5
signer2_sample199,4
signer2_sample205,8
signer2_sample259,19
signer2_sample263,2
signer2_sample269,14
signer2_sample271,13
signer2_sample287,18
signer2_sample289,13
signer2_sample299,9
signer2_sample309,7
signer2_sample312,7
signer2_sample313,3
signer2_sample318,4
signer2_sample330,15
signer2_sample337,4
signer2_sample387,10
signer2_sample396,15
signer2_sample406,1
signer2_sample411,0
signer2_sample413,7
signer2_sample437,13
signer2_sample448,9
signer2_sample453,18
signer2_sample460,3
signer2_sample470,18
signer2_sample484,16
signer2_sample486,3
signer2_sample494,17
signer2_sample501,15
signer2_sample503,0
signer2_sample511,16
signer2_sample520,0
signer2_sample523,17
signer2_sample538,11
signer2_sample556,8
signer2_sample563,6
signer2_sample580,19
signer2_sample600,12
signer2_sample620,5
signer2_sample623,16
signer2_sample627,4
signer2_sample637,17
signer2_sample651,0
signer2_sample663,16
signer2_sample671,6
signer2_sample693,11
signer2_sample704,10
signer2_sample710,11
signer2_sample722,1
signer2_sample745,13
signer2_sample771,9
signer2_sample776,5
signer2_sample788,7
signer2_sample796,2
signer2_sample800,2
signer2_sample811,9
signer2_sample827,6
signer2_sample843,17
signer2_sample850,1
signer2_sample856,15
signer2_sample879,12
signer2_sample888,0
signer2_sample914,12
signer2_sample915,14
signer2_sample931,6
signer2_sample935,19
signer2_sample947,13
signer2_sample951,10
signer2_sample963,12
signer2_sample996,5
signer2_sample1009,8
signer2_sample1016,18
signer2_sample1024,7
signer2_sample1026,18
signer2_sample1035,2
signer2_sample1036,3
signer2_sample1040,6
signer2_sample1047,14
signer2_sample1061,11
signer2_sample1069,0
signer2_sample1074,4
signer2_sample1078,14
signer2_sample1107,14
signer2_sample1132,9
signer2_sample1168,7
signer2_sample1171,11
signer2_sample1198,19
signer2_sample1227,5
signer2_sample1238,6
signer2_sample1240,13
signer2_sample1263,8
signer2_sample1279,1
signer2_sample1309,19
signer2_sample1313,2
signer2_sample1321,10
signer2_sample1329,17
signer2_sample1333,3
signer2_sample1338,10
signer2_sample1344,19
signer2_sample1354,4
signer3_sample5,0
signer3_sample18,1
signer3_sample21,16
signer3_sample32,11
signer3_sample46,11
signer3_sample56,9
signer3_sample64,15
signer3_sample82,17
signer3_sample84,7
signer3_sample105,15
signer3_sample108,12
signer3_sample120,7
signer3_sample125,4
signer3_sample152,0
signer3_sample166,2
signer3_sample179,19
signer3_sample197,5
signer3_sample205,1
signer3_sample211,4
